,id,name,latitude,longitude,capacity,num_bikes_available,num_bikes_disabled
145,517,Pershing Square South,40.751581,-73.97791,59,25,4
146,313,Washington Ave & Park Ave,40.69610226,-73.96751037,23,8,1
147,3293,W 92 St & Broadway,40.7921,-73.9739,24,1,0
148,3292,5 Ave & E 93 St,40.7857851,-73.957481,43,4,0
149,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,21,13,1
150,465,Broadway & W 41 St,40.75513557,-73.98658032,39,4,1
151,3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,31,11,0
152,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,19,3,1
153,3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,23,6,1
154,3419,Douglass St & 4 Ave,40.6792788,-73.98154004,27,11,1
155,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,27,3,0
156,442,W 27 St & 7 Ave,40.746647,-73.993915,51,11,2
157,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,35,1,0
158,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,18,2,0
159,2003,1 Ave & E 18 St,40.73381219,-73.98054421,39,1,1
160,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,27,2,0
161,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,33,9,0
162,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,39,12,5
163,3297,6 St & 7 Ave,40.6686627,-73.97988067,21,16,1
164,146,Hudson St & Reade St,40.71625008,-74.0091059,39,17,2
165,3221,47 Ave & 31 St,40.743,-73.93561,27,10,2
166,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,27,1,0
167,3072,Leonard St & Boerum St,40.70583339,-73.94644578,24,0,0
168,3168,Central Park West & W 85 St,40.78472675,-73.96961715,31,2,0
169,296,Division St & Bowery,40.71413089,-73.9970468,35,17,1
170,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,25,2,0
171,308,St James Pl & Oliver St,40.71307916,-73.99851193,27,2,3
172,3390,E 109 St & 3 Ave,40.79329668,-73.9432083,24,20,0
173,415,Pearl St & Hanover Square,40.7047177,-74.00926027,42,14,2
174,3106,Driggs Ave & N Henry St,40.72325,-73.94308,19,1,0
175,457,Broadway & W 58 St,40.76695317,-73.98169333,39,11,0
176,459,W 20 St & 11 Ave,40.746745,-74.007756,49,41,1
177,3157,East End Ave & E 86 St,40.77518615,-73.94446054,27,14,0
178,3320,Central Park West & W 100 St,40.793393,-73.9635556,49,31,1
179,503,E 20 St & Park Ave,40.73827428,-73.98751968,29,22,1
180,358,Christopher St & Greenwich St,40.73291553,-74.00711384,36,1,0
181,2000,Front St & Washington St,40.70255088,-73.98940236,30,22,4
182,228,E 48 St & 3 Ave,40.7546011,-73.97187886,55,21,1
183,496,E 16 St & 5 Ave,40.73726186,-73.99238967,47,42,1
184,279,Peck Slip & Front St,40.707873,-74.00167,36,10,1
185,243,Fulton St & Rockwell Pl,40.688226,-73.979382,31,20,1
186,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,39,34,0
187,3223,E 55 St & 3 Ave,40.75899656,-73.96865398,54,35,0
188,3077,Stagg St & Union Ave,40.70877084,-73.95095259,33,1,0
189,447,8 Ave & W 52 St,40.76370739,-73.9851615,23,1,0
190,314,Cadman Plaza West & Montague St,40.69383,-73.990539,39,19,2
191,262,Washington Park,40.6917823,-73.9737299,24,8,0
192,427,Bus Slip & State St,40.701907,-74.013942,47,17,1
193,486,Broadway & W 29 St,40.7462009,-73.98855723,39,19,2
194,3389,Carroll St & Columbia St,40.6830456,-74.00348559,28,1,1
195,3067,Broadway & Whipple St,40.7016657,-73.9437303,27,11,0
196,3139,E 72 St & Park Ave,40.77118288,-73.96409422,43,5,0
197,3365,3 St & 7 Ave,40.6703837,-73.97839676,27,3,0
198,302,Avenue D & E 3 St,40.72082834,-73.97793172,23,1,2
199,502,Henry St & Grand St,40.714215,-73.981346,30,2,3
200,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,19,4,0
201,340,Madison St & Clinton St,40.71269042,-73.98776323,27,0,1
202,382,University Pl & E 14 St,40.73492695,-73.99200509,36,31,1
203,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,19,1,0
204,3343,W 107 St & Columbus Ave,40.7997568,-73.96211287,23,2,0
205,507,E 25 St & 2 Ave,40.73912601,-73.97973776,45,1,3
206,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,39,26,1
207,346,Bank St & Hudson St,40.73652889,-74.00618026,27,2,0
208,410,Suffolk St & Stanton St,40.72066442,-73.98517977,35,5,4
209,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,23,5,3
210,307,Canal St & Rutgers St,40.71427487,-73.98990025,31,5,1
211,3381,3 St & Hoyt St,40.6777287,-73.99364123,21,7,0
212,2008,Little West St & 1 Pl,40.70569254,-74.01677685,24,5,2
213,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,47,7,0
214,405,Washington St & Gansevoort St,40.739323,-74.008119,40,5,0
215,385,E 55 St & 2 Ave,40.75797322,-73.96603308,29,2,1
216,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,23,11,0
217,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,47,24,0
218,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,36,32,0
219,3130,21 St & Queens Plaza North,40.75325964,-73.94335788,31,7,0
220,3122,48 Ave & 5 St,40.74436329,-73.95587325,31,9,0
221,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,39,14,2
222,3294,E 91 St & Park Ave,40.7835016,-73.955327,38,4,0
223,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,22,18,1
224,3255,8 Ave & W 31 St,40.75058535,-73.99468482,19,8,1
225,3340,Wolcott St & Dwight St,40.6753274,-74.0100698,21,11,0
226,3231,E 67 St & Park Ave,40.7678008,-73.96592081,39,4,0
227,3255,8 Ave & W 31 St,40.75058535,-73.99468482,19,8,1
228,500,Broadway & W 51 St,40.76228826,-73.98336183,52,36,0
229,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,21,0,0
230,325,E 19 St & 3 Ave,40.73624527,-73.98473765,35,6,2
231,530,11 Ave & W 59 St,40.771522,-73.990541,24,15,1
232,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,27,14,1
233,426,West St & Chambers St,40.71754834,-74.01322069,30,21,3
234,498,Broadway & W 32 St,40.74854862,-73.98808416,30,2,0
235,350,Clinton St & Grand St,40.71559509,-73.9870295,28,3,1
236,545,E 23 St & 1 Ave,40.736502,-73.97809472,27,9,1
237,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,39,1,0
